Key,Key Description,Country ISO3,Long Name,Region,Source,Parent,Type
558,Nicaragua,NIC,Republic of Nicaragua,Latin America & Caribbean,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
562,Niger,NER,Republic of Niger,Sub-Saharan Africa,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
566,Nigeria,NGA,Federal Republic of Nigeria,Sub-Saharan Africa,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
570,Niue,NIU,,,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
574,Norfolk Island,NFK,,,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
NAC,North America,NAC,North America,,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
807,North Macedonia,MKD,Republic of North Macedonia,Europe & Central Asia,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
580,Northern Mariana Islands,MNP,Commonwealth of the Northern Mariana Islands,East Asia & Pacific,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
578,Norway,NOR,Kingdom of Norway,Europe & Central Asia,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
275,Occ.Pal.Terr,PSE,,,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
512,Oman,OMN,Sultanate of Oman,Middle East & North Africa,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
490,"Other Asia, nes",OAS,,,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
582,Pacific Islands,PCE,,,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
586,Pakistan,PAK,Islamic Republic of Pakistan,South Asia,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
585,Palau,PLW,Republic of Palau,East Asia & Pacific,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
591,Panama,PAN,Republic of Panama,Latin America & Caribbean,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
598,Papua New Guinea,PNG,The Independent State of Papua New Guinea,East Asia & Pacific,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
600,Paraguay,PRY,Republic of Paraguay,Latin America & Caribbean,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
604,Peru,PER,Republic of Peru,Latin America & Caribbean,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
608,Philippines,PHL,Republic of the Philippines,East Asia & Pacific,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
612,Pitcairn,PCN,,,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
616,Poland,POL,Republic of Poland,Europe & Central Asia,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
620,Portugal,PRT,Portuguese Republic,Europe & Central Asia,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
634,Qatar,QAT,State of Qatar,Middle East & North Africa,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
638,Reunion,REU,,,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
642,Romania,ROM,Romania,Europe & Central Asia,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
643,Russian Federation,RUS,Russian Federation,Europe & Central Asia,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
646,Rwanda,RWA,Republic of Rwanda,Sub-Saharan Africa,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
652,Saint Barthélemy,BLM,,,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
654,Saint Helena,SHN,,,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
534,Saint Maarten (Dutch part),SXM,Sint Maarten (Dutch part),Latin America & Caribbean,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
666,Saint Pierre and Miquelon,SPM,,,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
882,Samoa,WSM,Samoa,East Asia & Pacific,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
674,San Marino,SMR,Republic of San Marino,Europe & Central Asia,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
678,Sao Tome and Principe,STP,Democratic Republic of São Tomé and Principe,Sub-Saharan Africa,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
682,Saudi Arabia,SAU,Kingdom of Saudi Arabia,Middle East & North Africa,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
686,Senegal,SEN,Republic of Senegal,Sub-Saharan Africa,https://wits.worldbank.org/countryprofile/metadata/en/country/all,Metadata,Numeric
