Key,Key Description,columnType,Source,Parent
 intermediate fruit-eating bat,,STRING,,ManifestColumn
 intermediate roundleaf bat,,STRING,,ManifestColumn
 italian wall lizard,,STRING,,ManifestColumn
 jamaican fruit bat,,STRING,,ManifestColumn
 japanese pufferfish,,STRING,,ManifestColumn
 jewelled blenny,,STRING,,ManifestColumn
 john dory,,STRING,,ManifestColumn
 kagu,,STRING,,ManifestColumn
 kakapo,,STRING,,ManifestColumn
 kemp's ridley sea turtle,,STRING,,ManifestColumn
 killdeer,,STRING,,ManifestColumn
 kuhl's pipistrelle,,STRING,,ManifestColumn
 lance-tailed manakin,,STRING,,ManifestColumn
 lanner falcon,,STRING,,ManifestColumn
 lanternfish,,STRING,,ManifestColumn
 large-eye snaggletooth,,STRING,,ManifestColumn
 largescale foureyes,,STRING,,ManifestColumn
 lataste's viper,,STRING,,ManifestColumn
 least weasel,,STRING,,ManifestColumn
 leatherback sea turtle,,STRING,,ManifestColumn
 leisler's bat,,STRING,,ManifestColumn
 lemon sole,,STRING,,ManifestColumn
 lesser black-backed gull,,STRING,,ManifestColumn
 lesser egyptian jerboa,,STRING,,ManifestColumn
 lesser kestrel,,STRING,,ManifestColumn
 lesser rhea,,STRING,,ManifestColumn
 lesser sand eel,,STRING,,ManifestColumn
 lesser weever,,STRING,,ManifestColumn
 lesser white-fronted goose,,STRING,,ManifestColumn
 light-bulb sea squirt,,STRING,,ManifestColumn
 linnaeus's two-toed sloth,,STRING,,ManifestColumn
 little brown bat,,STRING,,ManifestColumn
 little owl,,STRING,,ManifestColumn
 live sharksucker,,STRING,,ManifestColumn
 loggerhead sea turtle,,STRING,,ManifestColumn
 long-finned pilot whale,,STRING,,ManifestColumn
 long-tailed chinchilla,,STRING,,ManifestColumn
 long-tailed duck,,STRING,,ManifestColumn
 long-tailed tit,,STRING,,ManifestColumn
 longfin smelt,,STRING,,ManifestColumn
 longspined bullhead,,STRING,,ManifestColumn
 lowland paca,,STRING,,ManifestColumn
 lumpfish,,STRING,,ManifestColumn
 maguari stork,,STRING,,ManifestColumn
 mallard,,STRING,,ManifestColumn
 maltese wall lizard,,STRING,,ManifestColumn
 marbled rockcod,,STRING,,ManifestColumn
 masked duck,,STRING,,ManifestColumn
 mauritius kestrel,,STRING,,ManifestColumn
 meadow vole,,STRING,,ManifestColumn
 merriam's long-tongued bat,,STRING,,ManifestColumn
 milkfish,,STRING,,ManifestColumn
 minispotted lanternsfish,,STRING,,ManifestColumn
 mongolian gerbil,,STRING,,ManifestColumn
 monito del monte,,STRING,,ManifestColumn
 mourning dove,,STRING,,ManifestColumn
 Multi-species,,STRING,,ManifestColumn
 muskrat,,STRING,,ManifestColumn
 mute swan,,STRING,,ManifestColumn
 naked mole-rat,,STRING,,ManifestColumn
 nathusius's pipistrelle,,STRING,,ManifestColumn
 natterer's bat,,STRING,,ManifestColumn
 nelson's sparrow,,STRING,,ManifestColumn
 new caledonian crow,,STRING,,ManifestColumn
 nine-banded armadillo,,STRING,,ManifestColumn
 north american deermouse,,STRING,,ManifestColumn
 north american porcupine,,STRING,,ManifestColumn
 north atlantic right whale,,STRING,,ManifestColumn
 northern bat,,STRING,,ManifestColumn
 northern bottlenose whale,,STRING,,ManifestColumn
 northern cardinal,,STRING,,ManifestColumn
 northern carmine bee-eater,,STRING,,ManifestColumn
 northern goshawk,,STRING,,ManifestColumn
 northern mockingbird,,STRING,,ManifestColumn
 northern mole vole,,STRING,,ManifestColumn
 northern pike,,STRING,,ManifestColumn
 northern pintail,,STRING,,ManifestColumn
 northern short-tailed shrew,,STRING,,ManifestColumn
 northern shoveler,,STRING,,ManifestColumn
 Not applicable,,STRING,,ManifestColumn
 Not collected,,STRING,,ManifestColumn
 Not provided,,STRING,,ManifestColumn
 Not specified,,STRING,,ManifestColumn
 olive baboon,,STRING,,ManifestColumn
 olive python,,STRING,,ManifestColumn
 orange-tipped sea squirt,,STRING,,ManifestColumn
 orbiculate cardinalfish,,STRING,,ManifestColumn
 Other,,STRING,,ManifestColumn
 painted frog,,STRING,,ManifestColumn
 pale spear-nosed bat,,STRING,,ManifestColumn
 pallas's mastiff bat,,STRING,,ManifestColumn
 palmate newt,,STRING,,ManifestColumn
 parti-coloured bat,,STRING,,ManifestColumn
 pearleye,,STRING,,ManifestColumn
 pencil smelt,,STRING,,ManifestColumn
 peregrine falcon,,STRING,,ManifestColumn
 philippine flying lemur,,STRING,,ManifestColumn
 pine warbler,,STRING,,ManifestColumn
 pinecone soldierfish,,STRING,,ManifestColumn
 pink pigeon,,STRING,,ManifestColumn
 pink-footed goose,,STRING,,ManifestColumn
 plains spadefoot toad,,STRING,,ManifestColumn
 platypus,,STRING,,ManifestColumn
 plumbeous ibis,,STRING,,ManifestColumn
 pollack,,STRING,,ManifestColumn
 pool frog,,STRING,,ManifestColumn
 pygmy fruit-eating bat,,STRING,,ManifestColumn
 rainbow smelt,,STRING,,ManifestColumn
 rakery beaconlamp,,STRING,,ManifestColumn
 razorbill,,STRING,,ManifestColumn
 red bandfish,,STRING,,ManifestColumn
 red deer,,STRING,,ManifestColumn
 red gurnard,,STRING,,ManifestColumn
 red junglefowl,,STRING,,ManifestColumn
 red kite,,STRING,,ManifestColumn
 red porgy,,STRING,,ManifestColumn
 red-bellied piranha,,STRING,,ManifestColumn
 red-bellied woodpecker,,STRING,,ManifestColumn
 red-billed tropicbird,,STRING,,ManifestColumn
 red-breasted merganser,,STRING,,ManifestColumn
 red-crested pochard,,STRING,,ManifestColumn
 red-crested turaco,,STRING,,ManifestColumn
 red-eyed vireo,,STRING,,ManifestColumn
 red-fronted tinkerbird,,STRING,,ManifestColumn
 red-legged seriema,,STRING,,ManifestColumn
 red-shouldered hawk,,STRING,,ManifestColumn
 red-tailed hawk,,STRING,,ManifestColumn
 red-throated loon,,STRING,,ManifestColumn
 reedfish,,STRING,,ManifestColumn
 reeves's muntjac,,STRING,,ManifestColumn
 rhesus macaque,,STRING,,ManifestColumn
 rifleman,,STRING,,ManifestColumn
 riggenbach's reed frog,,STRING,,ManifestColumn
 ring-billed gull,,STRING,,ManifestColumn
 ring-necked pheasant,,STRING,,ManifestColumn
 ring-tailed lemur,,STRING,,ManifestColumn
 risso's dolphin,,STRING,,ManifestColumn
 rock gunnel,,STRING,,ManifestColumn
 rock pigeon,,STRING,,ManifestColumn
 rough lanternfish,,STRING,,ManifestColumn
 royal ground snake,,STRING,,ManifestColumn
 ruby-crowned kinglet,,STRING,,ManifestColumn
 ruby-throated hummingbird,,STRING,,ManifestColumn
 ruffed grouse,,STRING,,ManifestColumn
 rufous frog,,STRING,,ManifestColumn
 saker falcon,,STRING,,ManifestColumn
 saltmarsh sparrow,,STRING,,ManifestColumn
 sand lizard,,STRING,,ManifestColumn
 sandhill crane,,STRING,,ManifestColumn
 savannah sparrow,,STRING,,ManifestColumn
 schreibers's bent-winged bat,,STRING,,ManifestColumn
 sea lamprey,,STRING,,ManifestColumn
 sei whale,,STRING,,ManifestColumn
 seychelles magpie-robin,,STRING,,ManifestColumn
 shanny,,STRING,,ManifestColumn
 short-beaked echidna,,STRING,,ManifestColumn
 skyros wall lizard,,STRING,,ManifestColumn
 small-spotted catshark,,STRING,,ManifestColumn
 smalltooth sawfish,,STRING,,ManifestColumn
 smew,,STRING,,ManifestColumn
 smooth newt,,STRING,,ManifestColumn
 snow crab,,STRING,,ManifestColumn
 solenette,,STRING,,ManifestColumn
 song sparrow,,STRING,,ManifestColumn
 soprano pipistrelle,,STRING,,ManifestColumn
 south island takahe,,STRING,,ManifestColumn
 southern bluefin tuna,,STRING,,ManifestColumn
 southern corroboree frog,,STRING,,ManifestColumn
 southern giant pouched rat,,STRING,,ManifestColumn
 southern tamandua,,STRING,,ManifestColumn
 sowell's short-tailed bat,,STRING,,ManifestColumn
 sowerby's beaked whale,,STRING,,ManifestColumn
 speckled mousebird,,STRING,,ManifestColumn
